type,host_time,imu_time_us,x,y,z,i,j,k,real,accuracy
LA,1782148461.6027622,1131960,0.039062,-0.042969,0.089844,,,,,
RV,1782148461.6057217,1136860,,,,0.057312,0.092773,0.476685,0.872253,1.131836
LA,1782148461.6127775,1136860,0.039062,-0.042969,0.050781,,,,,
RV,1782148461.6136866,1141760,,,,0.057312,0.092773,0.476685,0.872253,1.131836
LA,1782148461.6199727,1141760,0.011719,-0.042969,0.089844,,,,,
RV,1782148461.6239045,1146760,,,,0.057312,0.092773,0.476746,0.872253,1.13208
LA,1782148461.6282496,1146760,0.011719,-0.003906,0.128906,,,,,
RV,1782148461.6311378,1151860,,,,0.057312,0.092773,0.476746,0.872253,1.13208
LA,1782148461.636113,1151860,0.003906,-0.078125,0.089844,,,,,
RV,1782148461.6390908,1156860,,,,0.057373,0.092773,0.476746,0.872253,1.13208
LA,1782148461.644758,1156860,0.039062,-0.078125,0.128906,,,,,
RV,1782148461.6486275,1161760,,,,0.057373,0.092773,0.476746,0.872253,1.13208
LA,1782148461.6527746,1161760,0.003906,-0.078125,0.128906,,,,,
RV,1782148461.6552868,1166860,,,,0.057434,0.092773,0.476685,0.872253,1.13208
LA,1782148464.224837,3758812,0.0,-0.003906,0.035156,,,,,
LA,1782148464.2273598,3764012,0.0,-0.003906,0.0,,,,,
LA,1782148464.2309458,3768912,0.039062,-0.042969,0.035156,,,,,
LA,1782148464.2330828,3773912,0.074219,-0.082031,0.035156,,,,,
LA,1782148464.2383893,3779012,0.113281,-0.082031,0.074219,,,,,
LA,1782148464.2411904,3783912,0.113281,-0.117188,0.074219,,,,,
LA,1782148464.2442412,3788912,0.113281,-0.117188,0.113281,,,,,
LA,1782148464.2468212,3793812,0.074219,-0.082031,0.074219,,,,,
LA,1782148464.2530715,3798912,0.039062,-0.042969,0.074219,,,,,
LA,1782148464.255022,3803912,0.0,-0.082031,0.074219,,,,,
LA,1782148464.2579641,3808812,0.03125,-0.082031,0.152344,,,,,
LA,1782148464.2605515,3814012,0.03125,-0.035156,0.144531,,,,,
LA,1782148464.2662604,3818912,0.023438,-0.035156,0.144531,,,,,
LA,1782148464.2690609,3823812,0.023438,-0.074219,0.066406,,,,,
LA,1782148464.2716665,3829012,-0.015625,0.003906,0.105469,,,,,
LA,1782148464.2746153,3833912,-0.085938,0.042969,0.027344,,,,,
LA,1782148464.2799942,3838912,-0.125,0.082031,-0.007812,,,,,
LA,1782148464.2829165,3844012,-0.160156,0.082031,-0.007812,,,,,
LA,1782148464.2856586,3848912,-0.160156,0.121094,-0.09375,,,,,
LA,1782148464.2890315,3853912,-0.125,0.121094,-0.015625,,,,,
LA,1782148464.394591,4025070,-0.121094,0.171875,-0.132812,,,,,
LA,1782148464.5913472,4181520,0.046875,-0.019531,0.035156,,,,,
RV,1782148464.596885,4186520,,,,0.065125,0.093384,0.478088,0.870911,1.130127
LA,1782148464.5993469,4186520,-0.03125,-0.058594,0.042969,,,,,
RV,1782148464.6051733,4191620,,,,0.065125,0.093445,0.478088,0.870911,1.130127
LA,1782148464.6077144,4191620,-0.066406,-0.019531,0.007812,,,,,
RV,1782148464.6132815,4196620,,,,0.065125,0.093445,0.478088,0.870911,1.130127
LA,1782148464.615919,4196620,-0.066406,-0.019531,0.042969,,,,,
RV,1782148464.6217055,4201520,,,,0.065063,0.093384,0.478088,0.870911,1.130127
LA,1782148464.6244025,4201520,-0.03125,-0.011719,-0.03125,,,,,
RV,1782148464.629852,4206620,,,,0.065002,0.093323,0.478149,0.870911,1.130127
LA,1782148464.633041,4206620,0.0,-0.050781,0.042969,,,,,
RV,1782148464.6386166,4211620,,,,0.064941,0.093262,0.478149,0.870911,1.130127
LA,1782148464.6413963,4211620,0.039062,-0.042969,0.121094,,,,,
RV,1782148464.6464121,4216520,,,,0.06488,0.093201,0.478149,0.870911,1.130127
LA,1782148464.6493928,4216520,0.039062,-0.042969,0.160156,,,,,
RV,1782148464.6535,4221620,,,,0.064819,0.09314,0.47821,0.870911,1.130127
RV,1782148464.7450788,4376062,,,,0.064636,0.09082,0.477783,0.871399,1.130127
LA,1782148464.8442812,4323073,-0.023438,-0.003906,0.089844,,,,,
RV,1782148464.8497303,4327673,,,,0.064697,0.090576,0.477783,0.871399,1.130127
LA,1782148464.852444,4327673,0.007812,-0.003906,0.167969,,,,,
RV,1782148464.8578777,4333173,,,,0.064697,0.090271,0.477722,0.87146,1.130127
LA,1782148464.8608038,4333173,-0.03125,0.042969,0.167969,,,,,
RV,1782148464.8661509,4337673,,,,0.064758,0.090088,0.477722,0.87146,1.130127
LA,1782148464.86909,4337673,-0.078125,0.15625,0.089844,,,,,
RV,1782148464.874505,4342873,,,,0.064819,0.089844,0.477722,0.871521,1.130127
LA,1782148464.8774219,4342873,-0.230469,0.042969,0.042969,,,,,
RV,1782148464.8831363,4348173,,,,0.06488,0.089539,0.477722,0.871521,1.130127
LA,1782148464.8857014,4348173,-0.316406,0.082031,0.082031,,,,,
RV,1782148464.8911595,4353073,,,,0.064941,0.089233,0.477783,0.871521,1.130127
LA,1782148464.894045,4353073,-0.359375,0.082031,0.113281,,,,,
